,,2002,2001,2000,1999,1998,2007,2006,2005,2004,2003,2012,2011,2010,2009,2008,2017,2016,2015,2014,2013,2021,2020,2019,2018
January,,7,7.03,8.21,6.79,6.99,6.22,6.15,5.71,5.71,5.92,3.92,4.76,5.03,5.05,5.76,4.15,3.87,3.67,4.43,3.41,2.74,3.62,4.46,4.03
February,,6.89,7.05,8.33,6.81,7.04,6.29,6.25,5.63,5.64,5.84,3.89,4.95,4.99,5.13,5.92,4.17,3.66,3.71,4.3,3.53,2.81,3.47,4.37,4.33
March,,7.01,6.95,8.24,7.04,7.13,6.16,6.32,5.93,5.45,5.75,3.95,4.84,4.97,5,5.97,4.2,3.69,3.77,4.34,3.57,3.08,3.45,4.27,4.44
April,,6.99,7.08,8.15,6.92,7.14,6.18,6.51,5.86,5.83,5.81,3.91,4.84,5.1,4.81,5.92,4.05,3.61,3.67,4.34,3.45,3.06,3.31,4.14,4.47
May,,6.81,7.15,8.52,7.15,7.14,6.26,6.6,5.72,6.27,5.48,3.8,4.64,4.89,4.86,6.04,4.01,3.6,3.84,4.19,3.54,2.96,3.23,4.07,4.59
June,,6.65,7.16,8.29,7.55,7,6.66,6.68,5.58,6.29,5.23,3.68,4.51,4.74,5.42,6.32,3.9,3.57,3.98,4.16,4.07,2.98,3.16,3.8,4.57
July,,6.49,7.13,8.15,7.63,6.95,6.7,6.76,5.7,6.06,5.63,3.55,4.55,4.56,5.22,6.43,3.97,3.44,4.05,4.13,4.37,2.87,3.02,3.77,4.53
August,,6.29,6.95,8.03,7.94,6.92,6.57,6.52,5.82,5.87,6.26,3.6,4.27,4.43,5.19,6.48,3.88,3.44,3.91,4.12,4.46,2.84,2.94,3.62,4.55
September,,6.09,6.82,7.91,7.82,6.72,6.38,6.4,5.77,5.75,6.15,3.5,4.11,4.35,5.06,6.04,3.81,3.46,3.89,4.16,4.49,2.9,2.89,3.61,4.63
October,,6.11,6.62,7.8,7.85,6.71,6.38,6.36,6.07,5.72,5.95,3.38,4.07,4.23,4.95,6.2, 3.90,3.47,3.8,4.04,4.19,3.07,2.83,3.69,4.83
November,,6.07,6.66,7.75,7.74,6.87,6.21,6.24,6.33,5.73,5.93,3.35,3.99,4.3,4.88,6.09,3.92,3.77,3.94,4,4.26,3.07,2.77,3.7,4.87
December,,6.05,7.07,7.38,7.91,6.74,6.1,6.14,6.27,5.75,5.88,3.35,3.96,4.71,4.93,5.29,3.95,4.2,3.96,3.86,4.46,,2.68,3.72,4.64
Annual Average,,6.54,6.97,8.05,7.44,6.94,6.34,6.41,5.87,5.84,5.83,3.66,4.45,4.69,5.04,6.03,3.99,3.65,3.85,4.17,3.98,, 3.11, 3.94, 4.54